name,category_code,city,country_code,latitude,longitude
TradeCard,enterprise,New York,USA,40.707729,-74.007801
Qumu,software,San Bruno,USA,37.630551,-122.422113
Stylesight,fashion,NEW YORK,USA,40.730763,-74.000827
Practice Fusion,health,San Francisco,USA,37.7886717,-122.392725
Infusionsoft,software,Chandler,USA,33.2871748,-111.8871813
mindSHIFT Technologies,enterprise,Waltham,USA,42.38532,-71.207055
Optaros,consulting,Boston,USA,42.356812,-71.058185
InsideView,enterprise,San Francisco,USA,37.764169,-122.402021
VBS TV,games_video,Brooklyn,USA,40.720764,-73.957968
Centrify,network_hosting,Sunnyvale,USA,37.390918,-122.080843
ngmoco,games_video,San Francisco,USA,37.7705096,-122.4015807
Appirio,enterprise,San Francisco,USA,37.5552776,-122.2997532
Minted,ecommerce,San Francisco,USA,37.797435,-122.403175
SAVO,software,Chicago,USA,41.87675,-87.640458
Vantage Media,advertising,El Segundo,USA,33.902696,-118.387511
Message Systems,software,Columbia,USA,39.169397,-76.811526
Epocrates,software,San Mateo,USA,37.544987,-122.291394
Xerox,hardware,Norwalk,USA,41.256052,-82.616032
Centrify,network_hosting,Sunnyvale,USA,37.390918,-122.080843
Zendesk,software,San Francisco,USA,55.676294,12.568116
MetaCarta,mobile,Cambridge,USA,42.36236,-71.099692
thePlatform,web,Seattle,USA,47.617838,-122.356027
Photobucket,web,Denver,USA,47.601803,-122.332085
MarkLogic,enterprise,San Carlos,USA,37.506272,-122.246867
TradeCard,enterprise,New York,USA,40.707729,-74.007801
Stylesight,fashion,NEW YORK,USA,40.730763,-74.000827
Lyft,software,San Francisco,USA,37.7899027,-122.4007846
Vindicia,analytics,Belmont,USA,37.538418,-122.252115
99designs,design,San Francisco,USA,37.7955307,-122.4005983
VMware,software,Palo Alto,USA,37.403315,-122.145981
Glassdoor,web,Sausalito,USA,37.868002,-122.500111
Red Bend Software,mobile,Waltham,USA,42.389795,-71.239286
Marketo,software,San Mateo,USA,37.5583,-122.301385
Bonobos,ecommerce,New York,USA,40.7384997,-73.9954585
Edmodo,education,San Mateo,USA,41.857915,-88.321171
Avisena,software,Miami,USA,25.782058,-80.296794
Cellfish,web,New York,USA,40.761855,-73.983754
eSolar,cleantech,Pasadena,USA,34.146436,-118.153136
iRise,software,El Segundo,USA,33.9019812,-118.3812173
Comcast,games_video,Philadelphia,USA,39.9525762,-75.1652518
SquareTrade,hardware,San Francisco,USA,37.789551,-122.40036
GitHub,software,San Francisco,USA,37.775196,-122.419204
Daptiv,enterprise,Seattle,USA,47.604279,-122.337437
Modern Feed,games_video,Los Angeles,USA,34.085749,-118.343791
Tealeaf,advertising,San Francisco,USA,37.791242,-122.397133
Adify,advertising,San Bruno,USA,37.629393,-122.424975
Turbine,games_video,Westwood,USA,42.214483,-71.185964
Turbine,games_video,Redwood City,USA,37.477652,-122.223384
Velocify,software,El Segundo,USA,33.9192583,-118.3952969
FetchBack,advertising,Tempe,USA,33.426418,-111.9396
PatientsLikeMe,health,Cambridge,USA,42.3674989,-71.0793952
Talend,analytics,Los Altos,USA,37.371908,-122.111711
Efficient Frontier,advertising,Sunnyvale,USA,37.4049731,-122.0323525
[x+1],enterprise,New York,USA,40.7455068,-73.982624
deviantART,web,Hollywood,USA,34.101578,-118.33334
Knewton,education,New York,USA,40.7310476,-74.0078134
AtHoc,security,San Mateo,USA,37.560747,-122.284001
Cloudmark,security,San Francisco,USA,37.779507,-122.39071
TRUSTe,enterprise,San Francisco,USA,37.7886685,-122.4005576
Medallia,software,Palo Alto,USA,37.4520239,-122.1797053
LogLogic,security,San Jose,USA,37.4155698,-121.9486567
Vocalocity,software,Atlanta,USA,33.7812614,-84.3675617
RiseSmart,enterprise,San Jose,USA,37.383526,-122.012808
Jama Software,software,Portland,USA,45.5309644,-122.68038
Cornerstone OnDemand,software,Santa Monica,USA,34.028182,-118.472577
Axcient,enterprise,Mountain View,USA,37.3973018,-122.0595623
Z2Live,games_video,Seattle,USA,47.6103008,-122.3399782
ZillionTV,games_video,Sunnyvale,USA,37.3738725,-121.9973546
ZillionTV,games_video,Santa Monica,USA,34.016838,-118.500603
MetricStream,software,Palo Alto,USA,37.446535,-122.118794
NuView Systems,software,Andover,USA,42.53182,-71.134358
Alert Logic,security,Houston,USA,29.747497,-95.471515
Birst,enterprise,San Francisco,USA,37.789471,-122.404113
Bullhorn,enterprise,Boston,USA,42.35198,-71.047739
eMeter,cleantech,San Mateo,USA,37.560781,-122.284114
Unitrends Software,software,Columbia,USA,34.10057,-80.963732
Razorsight,software,Reston,USA,38.872668,-77.367981
Millennial Media,advertising,Baltimore,USA,39.281734,-76.581864
Digium,public_relations,Huntsville,USA,34.7165112,-86.6917016
Sunrun,cleantech,San Francisco,USA,37.7871306,-122.4041075
TRIRIGA,cleantech,Las Vegas,USA,36.0686005,-115.162279
TRIRIGA,cleantech,Pleasanton,USA,37.6817236,-121.9031911
EdeniQ,other,Visalia,USA,36.35198,-119.368461
EdeniQ,other,Omaha,USA,41.195017,-96.0942872
MD-IT,software,Boulder,USA,40.020421,-105.236011
Water Health International,other,Irvine,USA,33.6333479,-117.7327363
Anacomp,enterprise,San Diego,USA,32.994888,-117.082032
General Dynamics,transportation,Falls Church,USA,38.8712205,-77.217416
MicroVision,hardware,Redmond,USA,47.6614954,-122.0943198
ZoomSystems,hardware,San Francisco,USA,37.781689,-122.391061
OpTier,analytics,New York,USA,40.754937,-73.985647
Maxymiser,enterprise,New York,USA,55.9485591,-3.2151393
Imaginova,ecommerce,New York,USA,40.7454971,-73.9826042
LogLogic,security,New York,USA,40.749577,-73.9916486
Skytap,enterprise,Seattle,USA,47.544341,-122.334732
Concur Technologies,software,Redmond,USA,51.5200277,-0.651155
Mindjet,software,San Francisco,USA,50.095312,9.049981
Nexenta Systems,software,Santa Clara,USA,37.444098,-122.161287
Cloudera,enterprise,Palo Alto,USA,37.5783417,-122.3497546
A10 Networks,network_hosting,San Jose,USA,37.391198,-121.93393
Model Metrics,enterprise,Chicago,USA,41.8961282,-87.6371628
SOASTA,enterprise,Mountain View,USA,37.418616,-122.087417
Next Jump,ecommerce,New York,USA,40.7451545,-73.9869549
Centro,advertising,Chicago,USA,41.889853,-87.6355433
Centro,advertising,New York,USA,40.7408753,-73.9920174
Centro,advertising,Dallas,USA,32.7819239,-96.790514
Centro,advertising,Santa Monica,USA,34.0312388,-118.4735062
PatientKeeper,software,Waltham,USA,42.357119,-71.1858605
Twilio,enterprise,San Francisco,USA,37.7898499,-122.4006831
MediaMath,advertising,New York,USA,40.756799,-73.9763479
LoopNet,ecommerce,San Francisco,USA,37.7759421,-122.3931139
mFoundry,mobile,Larkspur,USA,37.862592,-122.493561
OpSource,network_hosting,Santa Clara,USA,37.406217,-121.976473
SolarWinds,software,Austin,USA,30.245535,-97.805621
ClickSquared,software,Boston,USA,42.3913892,-71.2709869
RGB Networks,games_video,Sunnyvale,USA,37.4123706,-122.0216271
Elemental Technologies,enterprise,Portland,USA,45.519179,-122.677001
Silver Spring Networks,network_hosting,Redwood City,USA,37.4858629,-122.2067269
Sonim Technologies,mobile,San Mateo,USA,37.553121,-122.301534
ECI Telecom,network_hosting,Ft. Lauderdale,USA,26.1875706,-80.1912988
Initiate Systems,enterprise,Chicago,USA,41.882301,-87.634311
Wikimedia Foundation,nonprofit,San Francisco,USA,37.76785,-122.392839
[x+1],enterprise,New York,USA,40.7455068,-73.982624
Copan Systems,network_hosting,Longmont,USA,40.138979,-105.124465
Quantum Secure,software,San Jose,USA,37.367838,-121.915594
inContact,software,Midvale,USA,40.6110797,-111.853717
Parature,software,Herndon,USA,38.912791,-77.220048
Social Gaming Network,games_video,Beverly Hills,USA,34.0698494,-118.4054182
Networked Insights,analytics,Chicago,USA,41.879979,-87.634173
LifeLock,security,Tempe,USA,33.429859,-111.938739
Jajah,mobile,Mountain View,USA,37.4233896,-122.0899512
Livestream,games_video,New York,USA,40.726155,-73.995625
Yelp,search,San Francisco,USA,37.786183,-122.402195
RockYou,games_video,Redwood City,USA,37.484619,-122.206893
Eventbrite,web,San Francisco,USA,37.779507,-122.39071
LinkedIn,social,Mountain View,USA,37.423258,-122.073635
Box,network_hosting,Los Altos,USA,37.425801,-122.143701
Conduit,advertising,Foster City,USA,37.561877,-122.325248
Redfin,real_estate,Seattle,USA,47.603122,-122.333253
oDesk,web,Redwood City,USA,37.479952,-122.178557
Simply Hired,search,Sunnyvale,USA,37.4219165,-122.0780632
Spreadshirt,advertising,Pittsburgh,USA,40.437985,-80.004195
Yahoo!,web,Sunnyvale,USA,37.418531,-122.025485
Bazaarvoice,software,Austin,USA,30.407545,-97.717667
Tagged,social,San Francisco,USA,37.7753,-122.4186
NetSuite,enterprise,San Mateo,USA,37.536172,-122.327323
PayScale,software,Seattle,USA,47.5999337,-122.3276962
Hightail,network_hosting,Campbell,USA,37.288974,-121.935688
PayPal,finance,San Jose,USA,37.294465,-121.927696
AOL,web,New York,USA,40.7311317,-73.9919311
IMVU,web,Mountain View,USA,37.3927975,-122.0727749
BlueLithium,advertising,San Jose,USA,37.32052,-121.948399
ZoomInfo,search,Waltham,USA,42.38532,-71.207055
Trulia,search,San Francisco,USA,37.766909,-122.406676
TubeMogul,advertising,Emeryville,USA,37.836957,-122.286493
OpenTable,web,San Francisco,USA,37.785647,-122.405265
ChannelAdvisor,search,Morrisville,USA,35.854483,-78.815635
hi5,games_video,San Francisco,USA,37.788668,-122.400558
Cisco,network_hosting,San Jose,USA,37.408802,-121.95377
eBay,web,San Jose,USA,37.295005,-121.930035
Twitter,social,San Francisco,USA,37.7768052,-122.4169244
CPM Braxis,consulting,New York,USA,40.756799,-73.9763479
CPM Braxis,consulting,Aventura,USA,25.95606,-80.146329
Adknowledge,advertising,Kansas City,USA,39.044694,-94.597896
Adknowledge,advertising,New York,USA,40.748901,-73.992463
Adknowledge,advertising,San Francisco,USA,37.78866,-122.401406
Adknowledge,advertising,Fort Myers,USA,26.580095,-81.879069
Novariant,other,Fremont,USA,37.49202,-121.952239
Novariant,other,Tucson,USA,32.253511,-111.005271
Novariant,other,Broomfield,USA,39.925372,-105.104752
Troux Technologies,enterprise,Austin,USA,30.381525,-97.810484
Open-Xchange,software,Tarrytown,USA,41.0662835,-73.8625452
Bestofmedia Group,news,Culver City,USA,34.0221299,-118.395743
Bomgar,software,Ridgeland,USA,32.416174,-90.1633006
Bomgar,software,Duluth,USA,34.057519,-84.17173
Bomgar,software,San Francisco,USA,37.791128,-122.398126
Bomgar,software,Reston,USA,38.9594124,-77.3563279
spigit,software,Pleasanton,USA,37.6637279,-121.8731805
spigit,software,Reston,USA,38.9590083,-77.3592746
PowerReviews,social,San Francisco,USA,37.779558,-122.393041
Vovici,enterprise,Dulles,USA,38.983393,-77.434128
Realtime Worlds,games_video,Boulder,USA,40.010492,-105.276843
Black Duck Software,software,Waltham,USA,42.398916,-71.253998
Black Duck Software,software,San Mateo,USA,37.556152,-122.281484
Clarabridge,enterprise,Reston,USA,38.946532,-77.340436
Clarabridge,enterprise,San Francisco,USA,37.791402,-122.402844
DemandTec,software,San Carlos,USA,37.498842,-122.239815
WANdisco,software,San Ramon,USA,37.769205,-121.966395
Facebook,social,Menlo Park,USA,37.41605,-122.151801
Facebook,social,New York,USA,40.7557162,-73.9792469
hulu,games_video,Los Angeles,USA,34.031276,-118.456806
Mozilla,web,Mountain View,USA,37.418491,-122.08744
Zillow,real_estate,Seattle,USA,47.6011125,-122.3293984
Moz,search,Seattle,USA,47.620716,-122.347533
BreakingPoint Systems,security,Austin,USA,30.384453,-97.709809
TheLadders,web,New York,USA,40.725883,-74.006196
Netflix,games_video,Los Gatos,USA,37.25142,-121.968687
Social Gaming Network,games_video,Los Angeles,USA,37.446823,-122.161523
Mashable,news,New York,USA,40.7401544,-73.9867417
Coverity,enterprise,San Francisco,USA,37.7759675,-122.3931128
Grooveshark,web,Gainesville,USA,29.6502461,-82.3230981
Evernote,software,Redwood City,USA,37.386774,-121.987661
Intuit,software,Mountain View,USA,37.428373,-122.097604
Intuit,software,San Diego,USA,32.957695,-117.158245
Covario,enterprise,San Diego,USA,32.912063,-117.114827
Boonty,games_video,New York,USA,40.717248,-74.002662
Elance,web,Mountain View,USA,37.398022,-122.049143
LiveRail,advertising,San Francisco,USA,37.787183,-122.397759
OpenDNS,security,San Francisco,USA,37.789268,-122.395184
Kareo,software,Irvine,USA,33.676444,-117.8587
LiveOps,public_relations,Santa Clara,USA,37.323668,-122.004204
Workday,enterprise,Pleasanton,USA,37.694202,-121.921532
Next New Networks,web,New York,USA,40.743808,-73.983626
Zuora,software,Foster City,USA,37.5596277,-122.2709868
Voltage Security,security,Cupertino,USA,37.399481,-122.1345417
InMage Systems,software,San Jose,USA,37.381034,-121.971487
ScanCafe,web,Burlingame,USA,37.592584,-122.369676
Cvent,software,McLean,USA,38.923453,-77.227525
Zend Technologies,software,Cupertino,USA,37.322385,-122.008549
Location Labs,mobile,Emeryville,USA,37.83466,-122.291944
OrangeSoda,advertising,American Fork,USA,40.358294,-111.780243
Networked Insights,analytics,Madison,USA,41.278528,-72.5254318
Networked Insights,analytics,New York,USA,40.745559,-73.986243
Endeca,search,Cambridge,USA,42.36233,-71.081527
Magento,ecommerce,Los Angeles,USA,34.052187,-118.243425
Oversee,web,Los Angeles,USA,34.051368,-118.256305
SuccessFactors,enterprise,San Mateo,USA,37.557637,-122.285714
Zimbra,enterprise,Palo Alto,USA,37.557637,-122.285714
Blurb,ecommerce,San Francisco,USA,37.792968,-122.40414
The Climate Corporation,cleantech,San Francisco,USA,37.782809,-122.394354
The Climate Corporation,cleantech,Seattle,USA,47.5984767,-122.3331466
Automattic,web,San Francisco,USA,37.744274,-122.421344
Payoneer,other,New York,USA,40.621591,-73.960717
Shopatron,enterprise,San Luis Obispo,USA,37.09024,-95.712891
EchoSign,web,Palo Alto,USA,37.445326,-122.160671
TrialPay,advertising,Mountain View,USA,37.388095,-122.08276
Firetide,mobile,Campbell,USA,37.285133,-121.932962
Gigya,enterprise,Mountain View,USA,37.43938,-122.158804
MyBuys,advertising,San Mateo,USA,37.530893,-122.245087
MyBuys,advertising,Ann Arbor,USA,42.277416,-83.733276
Omniture,advertising,Orem,USA,40.323902,-111.68192
Vobile,web,Santa Clara,USA,37.399208,-121.97895
Verimatrix,software,San Diego,USA,32.903248,-117.175733
Splunk,software,San Francisco,USA,37.78274,-122.390945
TrustedID,security,Palo Alto,USA,37.520592,-122.255907
Yodle,advertising,New York,USA,40.742459,-73.9918126
Yodle,advertising,Austin,USA,30.378658,-97.731249
Yodle,advertising,Charlotte,USA,35.139441,-80.916109
Yodle,advertising,Scottsdale,USA,33.464377,-111.924855
Yodle,advertising,Buford,USA,34.105226,-84.03398
HubSpot,software,Cambridge,USA,42.375392,-71.118487
GrubHub,hospitality,Chicago,USA,41.907647,-87.649878
CDNetworks,network_hosting,San Jose,USA,37.4050988,-121.9477639
Acquia,enterprise,Burlington,USA,42.524527,-71.137784
Etsy,ecommerce,Brooklyn,USA,40.694731,-73.983268
Tesla Motors,automotive,Palo Alto,USA,37.496737,-122.245323
fabrik,network_hosting,San Mateo,USA,37.553743,-122.300246
InfoLogix,enterprise,Hatboro,USA,40.1923295,-75.1069232
